rank,name,year
1,Google Inc.,2016
2,Acuity Insurance,2016
3,"The Boston Consulting Group, Inc.",2016
4,"Wegmans Food Markets, Inc.",2016
5,Quicken Loans,2016
6,Baird,2016
7,Kimley-Horn,2016
8,SAS Institute Inc.,2016
9,Camden Property Trust,2016
10,Edward Jones,2016
11,Genentech,2016
12,"W. L. Gore & Associates, Inc.",2016
13,"Nugget Market, Inc.",2016
14,The Container Store,2016
15,ULTIMATE SOFTWARE,2016
16,Burns & McDonnell,2016
17,David Weekley Homes,2016
18,CHG Healthcare,2016
19,NuStar Energy,2016
20,Kimpton Hotels & Restaurants,2016
21,Stryker,2016
22,Hilcorp,2016
23,Salesforce,2016
24,"ARI, Automotive Resources International",2016
25,Baptist Health South Florida,2016
26,"Recreational Equipment, Inc. (REI)",2016
27,Credit Acceptance Corporation,2016
29,Southern Ohio Medical Center,2016
30,Veterans United Home Loans,2016
31,Workday,2016
32,Baker Donelson,2016
33,Plante Moran,2016
34,Intuit Inc.,2016
35,St. Jude Children's Research Hospital,2016
36,USAA,2016
37,Perkins Coie LLP,2016
38,"World Wide Technology, LLC",2016
39,Riot Games,2016
41,Alston & Bird LLP,2016
42,SCRIPPS HEALTH,2016
43,KPMG LLP,2016
44,Navy Federal Credit Union,2016
45,Build-A-Bear Workshop,2016
46,Texas Health Resources,2016
47,Hyatt Hotels Corporation,2016
48,Hyland,2016
49,Ernst & Young LLP,2016
50,Aflac Incorporated,2016
51,"The Goldman Sachs Group, Inc.",2016
52,Cadence,2016
53,PricewaterhouseCoopers LLP,2016
54,"Autodesk, Inc.",2016
55,Novo Nordisk Inc.,2016
56,Hilton,2016
57,Protiviti,2016
58,Custom Ink,2016
59,Power Home Remodeling,2016
60,PCL Construction,2016
61,O.C. Tanner,2016
62,"Arthrex, Inc",2016
63,IKEA Holding U.S. Inc.,2016
64,American Fidelity Assurance Company,2016
65,TDIndustries,2016
66,"JM Family Enterprises, Inc.",2016
67,Publix Super Markets Inc.,2016
68,OhioHealth,2016
69,Encompass Health - Homecare and Hospice,2016
70,Four Seasons Hotels & Resorts,2016
71,Nationwide,2016
72,"Regeneron Pharmaceuticals, Inc.",2016
73,Roche Diagnostics,2016
74,"TEKsystems, Inc.",2016
75,Whole Foods Market,2016
76,QuikTrip,2016
77,Activision Blizzard,2016
78,Children's Healthcare of Atlanta,2016
79,Atlantic Health System,2016
80,Allianz Life Insurance Company of North America,2016
81,Arnold & Porter Kaye Scholer LLP,2016
82,Cisco,2016
83,"Marriott International, Inc.",2016
84,Accenture,2016
85,CarMax,2016
86,Mayo Clinic,2016
87,Adobe,2016
88,Capital One Financial Corporation,2016
89,FactSet Research Systems Inc.,2016
90,Deloitte,2016
91,Orrick,2016
92,"Nordstrom, Inc.",2016
93,WellStar Health System,2016
94,First American Financial Corporation,2016
95,GoDaddy,2016
96,American Express,2016
97,"Sheetz, Inc.",2016
98,The Cheesecake Factory Incorporated,2016
99,"Mars, Incorporated",2016
100,"Slalom, LLC.",2016
1,Google Inc.,2017
2,"Wegmans Food Markets, Inc.",2017
3,"The Boston Consulting Group, Inc.",2017
4,Baird,2017
5,Edward Jones,2017
6,Genentech,2017
7,ULTIMATE SOFTWARE,2017
8,Salesforce,2017
9,Acuity Insurance,2017
10,Quicken Loans,2017
11,Kimley-Horn,2017
12,KPMG LLP,2017
13,Intuit Inc.,2017
14,Kimpton Hotels & Restaurants,2017
15,SAS Institute Inc.,2017
16,Burns & McDonnell,2017
17,Capital One Financial Corporation,2017
18,Workday,2017
19,Stryker,2017
20,CHG Healthcare,2017
21,Publix Super Markets Inc.,2017
22,Camden Property Trust,2017
23,PricewaterhouseCoopers LLP,2017
24,David Weekley Homes,2017
25,Cooley LLP,2017
26,Hilton,2017
27,Veterans United Home Loans,2017
28,"Recreational Equipment, Inc. (REI)",2017
29,Ernst & Young LLP,2017
30,"Nugget Market, Inc.",2017
31,Texas Health Resources,2017
32,Hyatt Hotels Corporation,2017
33,"Marriott International, Inc.",2017
34,Pinnacle Financial Partners,2017
35,USAA,2017
36,St. Jude Children's Research Hospital,2017
37,NuStar Energy,2017
38,"ARI, Automotive Resources International",2017
39,NVIDIA,2017
40,"World Wide Technology, LLC",2017
41,Hilcorp,2017
42,"VMware, Inc.",2017
43,Credit Acceptance Corporation,2017
44,TDIndustries,2017
45,SCRIPPS HEALTH,2017
46,Atlantic Health System,2017
47,Navy Federal Credit Union,2017
48,The Cheesecake Factory Incorporated,2017
49,The Container Store,2017
50,"Mars, Incorporated",2017
51,Plante Moran,2017
52,"W. L. Gore & Associates, Inc.",2017
53,Perkins Coie LLP,2017
54,Nationwide,2017
55,"JM Family Enterprises, Inc.",2017
56,Children's Healthcare of Atlanta,2017
57,Encompass Health - Homecare and Hospice,2017
58,Whole Foods Market,2017
59,SAP SE,2017
60,Adobe,2017
61,Southern Ohio Medical Center,2017
62,"The Goldman Sachs Group, Inc.",2017
63,"Delta Air Lines, Inc.",2017
64,Deloitte,2017
65,Alston & Bird LLP,2017
66,Activision Blizzard,2017
67,Cisco,2017
68,QuikTrip,2017
69,American Express,2017
70,Roche Diagnostics,2017
71,"Autodesk, Inc.",2017
72,IKEA Holding U.S. Inc.,2017
73,Novo Nordisk Inc.,2017
74,Rackspace,2017
75,Hyland,2017
76,Build-A-Bear Workshop,2017
77,CarMax,2017
78,"Slalom, LLC.",2017
79,Four Seasons Hotels & Resorts,2017
80,Protiviti,2017
81,Cadence,2017
82,First American Financial Corporation,2017
83,"TEKsystems, Inc.",2017
84,Mayo Clinic,2017
85,"Regeneron Pharmaceuticals, Inc.",2017
86,OhioHealth,2017
87,"Sheetz, Inc.",2017
88,Accenture,2017
89,American Fidelity Assurance Company,2017
90,Bright Horizons Family Solutions,2017
91,Aflac Incorporated,2017
92,Methodist Le Bonheur Healthcare,2017
93,AT&T,2017
94,"Nordstrom, Inc.",2017
95,Baker Donelson,2017
96,Orrick,2017
97,Baptist Health South Florida,2017
98,PCL Construction,2017
99,FedEx Corporation,2017
100,Allianz Life Insurance Company of North America,2017
1,Salesforce,2018
2,"Wegmans Food Markets, Inc.",2018
3,ULTIMATE SOFTWARE,2018
4,"The Boston Consulting Group, Inc.",2018
5,Edward Jones,2018
6,Kimpton Hotels & Restaurants,2018
7,Workday,2018
8,Genentech,2018
9,Hyatt Hotels Corporation,2018
10,Kimley-Horn,2018
11,Deloitte,2018
12,Baird,2018
13,Intuit Inc.,2018
14,Quicken Loans,2018
15,Texas Health Resources,2018
16,Stryker,2018
17,Capital One Financial Corporation,2018
18,Cooley LLP,2018
19,USAA,2018
20,Plante Moran,2018
21,Southern Ohio Medical Center,2018
22,Pinnacle Financial Partners,2018
23,American Express,2018
24,Camden Property Trust,2018
25,Baptist Health South Florida,2018
26,Adobe,2018
27,The Cheesecake Factory Incorporated,2018
28,SAP SE,2018
29,KPMG LLP,2018
30,NVIDIA,2018
31,Orrick,2018
32,Veterans United Home Loans,2018
33,Hilton,2018
34,CarMax,2018
35,"Marriott International, Inc.",2018
36,David Weekley Homes,2018
37,SAS Institute Inc.,2018
38,Cadence,2018
39,"VMware, Inc.",2018
40,Allianz Life Insurance Company of North America,2018
41,SCRIPPS HEALTH,2018
42,Navy Federal Credit Union,2018
43,"Recreational Equipment, Inc. (REI)",2018
44,Synchrony,2018
45,"World Wide Technology, LLC",2018
46,Protiviti,2018
47,Publix Super Markets Inc.,2018
48,Cisco,2018
49,"Regeneron Pharmaceuticals, Inc.",2018
50,Burns & McDonnell,2018
51,"JM Family Enterprises, Inc.",2018
52,Ernst & Young LLP,2018
53,Nationwide,2018
54,"Slalom, LLC.",2018
55,Build-A-Bear Workshop,2018
56,PricewaterhouseCoopers LLP,2018
57,St. Jude Children's Research Hospital,2018
58,Perkins Coie LLP,2018
59,American Fidelity Assurance Company,2018
60,Accenture,2018
61,Credit Acceptance Corporation,2018
62,Crowe,2018
63,First American Financial Corporation,2018
64,Dropbox,2018
65,"BayCare Health System, Inc.",2018
